REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Simplicity2,WINDPOWER,1,2010,0.7817872608333333
Simplicity2,WINDPOWER,2,2010,0.6846538983333333
Simplicity2,WINDPOWER,3,2010,0.4380054973333333
Simplicity2,WINDPOWER,4,2010,0.0020719765
Simplicity2,WINDPOWER,5,2010,0.0
Simplicity2,WINDPOWER,6,2010,0.0
Simplicity2,WINDPOWER,7,2010,0.0
Simplicity2,WINDPOWER,8,2010,0.0
Simplicity2,WINDPOWER,9,2010,0.20508723333333334
Simplicity2,WINDPOWER,10,2010,0.164487024
Simplicity2,WINDPOWER,11,2010,0.21837304666666668
Simplicity2,WINDPOWER,12,2010,0.013679142166666667
Simplicity2,WINDPOWER,13,2010,0.0553602735
Simplicity2,WINDPOWER,14,2010,0.15559721183333333
Simplicity2,WINDPOWER,15,2010,0.6129941031666667
Simplicity2,WINDPOWER,16,2010,0.8574702103333333
Simplicity2,WINDPOWER,17,2010,0.012899172833333333
Simplicity2,WINDPOWER,18,2010,0.284523733
Simplicity2,WINDPOWER,19,2010,0.8906046989999999
Simplicity2,WINDPOWER,20,2010,0.7572926263333333
